left_child,right_child,distance,size
45768.0,52393.0,0.0,3.0
45769.0,376.0,0.0,2.0
19240.0,11252.0,0.0,2.0
19239.0,52436.0,0.0,3.0
45780.0,52434.0,0.0,4.0
45782.0,15215.0,0.0,2.0
19235.0,17089.0,0.0,2.0
45784.0,52431.0,0.0,5.0
45786.0,52415.0,0.0,4.0
45788.0,52441.0,0.0,6.0
45789.0,52433.0,0.0,3.0
45791.0,52438.0,0.0,5.0
19225.0,20355.0,0.0,2.0
45794.0,4859.0,0.0,2.0
45800.0,31652.0,0.0,2.0
19324.0,52394.0,0.0,4.0
19326.0,52390.0,0.0,5.0
19327.0,20511.0,0.0,2.0
19328.0,29316.0,0.0,2.0
19446.0,487.0,0.0,2.0
19445.0,52453.0,0.0,3.0
19443.0,31342.0,0.0,2.0
45642.0,52443.0,0.0,7.0
19438.0,19423.0,0.0,2.0
45644.0,52456.0,0.0,8.0
45639.0,52458.0,0.0,9.0
19434.0,19433.0,0.0,2.0
19428.0,11206.0,0.0,2.0
19427.0,52461.0,0.0,3.0
19426.0,19380.0,0.0,2.0
19425.0,52463.0,0.0,3.0
19424.0,52457.0,0.0,3.0
19422.0,35423.0,0.0,2.0
19432.0,52465.0,0.0,4.0
19449.0,17300.0,0.0,2.0
19450.0,52468.0,0.0,3.0
19452.0,50282.0,0.0,2.0
45630.0,52459.0,0.0,10.0
45633.0,45822.0,0.0,2.0
19481.0,20613.0,0.0,2.0
19480.0,52473.0,0.0,3.0
19477.0,46631.0,0.0,2.0
19470.0,11390.0,0.0,2.0
19469.0,52476.0,0.0,3.0
19468.0,11091.0,0.0,2.0
19467.0,52478.0,0.0,3.0
19459.0,19460.0,0.0,2.0
19458.0,20311.0,0.0,2.0
19457.0,52481.0,0.0,3.0
19456.0,28763.0,0.0,2.0
45635.0,45611.0,0.0,2.0
45636.0,45705.0,0.0,2.0
45649.0,52445.0,0.0,6.0
19154.0,11069.0,0.0,2.0
19417.0,19336.0,0.0,2.0
45653.0,52471.0,0.0,11.0
45687.0,35431.0,0.0,2.0
45690.0,52442.0,0.0,5.0
45692.0,18752.0,0.0,2.0
19349.0,19371.0,0.0,2.0
45702.0,52485.0,0.0,3.0
19346.0,26811.0,0.0,2.0
19358.0,19357.0,0.0,2.0
45709.0,52405.0,0.0,3.0
19341.0,52410.0,0.0,3.0
19340.0,39711.0,0.0,2.0
19339.0,52499.0,0.0,3.0
19338.0,26990.0,0.0,2.0
19337.0,31220.0,0.0,2.0
19335.0,52488.0,0.0,3.0
45710.0,52494.0,0.0,4.0
45684.0,46207.0,0.0,2.0
19364.0,75.0,0.0,2.0
19366.0,52503.0,0.0,4.0
45664.0,52489.0,0.0,12.0
19404.0,52467.0,0.0,5.0
45669.0,52491.0,0.0,6.0
45672.0,49405.0,0.0,2.0
45675.0,52508.0,0.0,13.0
19389.0,11285.0,0.0,2.0
19387.0,27319.0,0.0,2.0
19386.0,52507.0,0.0,5.0
19382.0,52502.0,0.0,3.0
19378.0,17264.0,0.0,2.0
19375.0,52515.0,0.0,6.0
19374.0,52518.0,0.0,7.0
19373.0,52509.0,0.0,6.0
19368.0,39702.0,0.0,2.0
19367.0,52521.0,0.0,3.0
19416.0,52520.0,0.0,7.0
19153.0,50279.0,0.0,2.0
19152.0,52409.0,0.0,4.0
19151.0,19150.0,0.0,2.0
45945.0,45944.0,0.0,2.0
18917.0,18918.0,0.0,2.0
18915.0,52528.0,0.0,3.0
18914.0,52529.0,0.0,4.0
45948.0,46106.0,0.0,2.0
18906.0,5872.0,0.0,2.0
45943.0,52527.0,0.0,3.0
18898.0,46466.0,0.0,2.0
18896.0,18895.0,0.0,2.0
45959.0,45957.0,0.0,2.0
18893.0,52496.0,0.0,3.0
18892.0,52537.0,0.0,4.0
18890.0,52483.0,0.0,3.0
18886.0,11165.0,0.0,2.0
