parent,left_child,right_child,distance,size
52645,48671.0,52644.0,0.0,4.0
52646,48672.0,52617.0,0.0,3.0
52647,22400.0,22412.0,0.0,2.0
52648,22374.0,52633.0,0.0,11.0
52649,48677.0,48676.0,0.0,2.0
52650,22357.0,22199.0,0.0,2.0
52651,48678.0,15940.0,0.0,2.0
52652,22353.0,22222.0,0.0,2.0
52653,22351.0,52639.0,0.0,6.0
52654,48681.0,31156.0,0.0,2.0
52655,48684.0,48683.0,0.0,2.0
52656,22346.0,52653.0,0.0,7.0
52657,48686.0,48685.0,0.0,2.0
52658,48675.0,5836.0,0.0,2.0
52659,48621.0,52612.0,0.0,11.0
52660,48620.0,52659.0,0.0,12.0
52661,52611.0,52660.0,0.0,22.0
52662,22634.0,22592.0,0.0,2.0
52663,22633.0,52662.0,0.0,3.0
52664,22632.0,52663.0,0.0,4.0
52665,22631.0,52664.0,0.0,5.0
52666,22627.0,22626.0,0.0,2.0
52667,22625.0,52665.0,0.0,6.0
52668,22624.0,52667.0,0.0,7.0
52669,22620.0,52666.0,0.0,3.0
52670,22619.0,52668.0,0.0,8.0
52671,22617.0,22595.0,0.0,2.0
52672,22616.0,52670.0,0.0,9.0
52673,22615.0,52672.0,0.0,10.0
52674,22611.0,52673.0,0.0,11.0
52675,22610.0,52674.0,0.0,12.0
52676,22609.0,52675.0,0.0,13.0
52677,22608.0,52676.0,0.0,14.0
52678,22605.0,52677.0,0.0,15.0
52679,22603.0,52671.0,0.0,3.0
52680,22602.0,52679.0,0.0,4.0
52681,22638.0,22640.0,0.0,2.0
52682,22641.0,52681.0,0.0,3.0
52683,22643.0,22642.0,0.0,2.0
52684,22644.0,22645.0,0.0,2.0
52685,48494.0,13564.0,0.0,2.0
52686,48499.0,48503.0,0.0,2.0
52687,48521.0,52651.0,0.0,3.0
52688,48522.0,39325.0,0.0,2.0
52689,48523.0,52688.0,0.0,3.0
52690,22694.0,22695.0,0.0,2.0
52691,22689.0,22679.0,0.0,2.0
52692,48548.0,22137.0,0.0,2.0
52693,22677.0,22651.0,0.0,2.0
52694,22601.0,52680.0,0.0,5.0
52695,22672.0,22673.0,0.0,2.0
52696,22669.0,22668.0,0.0,2.0
52697,22664.0,52693.0,0.0,3.0
52698,22663.0,22666.0,0.0,2.0
52699,22661.0,52697.0,0.0,4.0
52700,22657.0,22656.0,0.0,2.0
52701,22654.0,52700.0,0.0,3.0
52702,22653.0,22648.0,0.0,2.0
52703,22652.0,52699.0,0.0,5.0
52704,22646.0,52703.0,0.0,6.0
52705,48550.0,10236.0,0.0,2.0
52706,48556.0,48553.0,0.0,2.0
52707,22597.0,52694.0,0.0,6.0
52708,22594.0,22593.0,0.0,2.0
52709,48601.0,52661.0,0.0,23.0
52710,48602.0,52573.0,0.0,3.0
52711,48603.0,52710.0,0.0,4.0
52712,48604.0,52711.0,0.0,5.0
52713,48605.0,52712.0,0.0,6.0
52714,48606.0,52713.0,0.0,7.0
52715,48607.0,52714.0,0.0,8.0
52716,48608.0,52709.0,0.0,24.0
52717,48609.0,52715.0,0.0,9.0
52718,48600.0,52717.0,0.0,10.0
52719,48610.0,52718.0,0.0,11.0
52720,48612.0,52719.0,0.0,12.0
52721,48613.0,52720.0,0.0,13.0
52722,48614.0,52721.0,0.0,14.0
52723,48615.0,52722.0,0.0,15.0
52724,48616.0,52716.0,0.0,25.0
52725,48617.0,52723.0,0.0,16.0
52726,48618.0,52724.0,0.0,26.0
52727,22494.0,52585.0,0.0,3.0
52728,22493.0,52648.0,0.0,12.0
52729,48611.0,52725.0,0.0,17.0
52730,23147.0,33769.0,0.0,2.0
52731,22535.0,22545.0,0.0,2.0
52732,22538.0,52731.0,0.0,3.0
52733,22591.0,52678.0,0.0,16.0
52734,48557.0,17013.0,0.0,2.0
52735,48559.0,17024.0,0.0,2.0
52736,48570.0,46180.0,0.0,2.0
52737,48574.0,48573.0,0.0,2.0
52738,48581.0,48582.0,0.0,2.0
52739,48588.0,48583.0,0.0,2.0
52740,48591.0,52729.0,0.0,18.0
52741,48592.0,52740.0,0.0,19.0
52742,22536.0,22537.0,0.0,2.0
52743,22572.0,52439.0,0.0,3.0
52744,48593.0,52741.0,0.0,20.0
52745,22558.0,22550.0,0.0,2.0
52746,22552.0,52745.0,0.0,3.0
52747,48594.0,52744.0,0.0,21.0
52748,48595.0,52747.0,0.0,22.0
52749,48596.0,52748.0,0.0,23.0
52750,48597.0,52749.0,0.0,24.0
52751,48598.0,52750.0,0.0,25.0
52752,22540.0,52742.0,0.0,3.0
52753,22571.0,52743.0,0.0,4.0
52754,22294.0,22293.0,0.0,2.0
52755,23152.0,23151.0,0.0,2.0
52756,23157.0,33630.0,0.0,2.0
52757,23909.0,23910.0,0.0,2.0
52758,47812.0,47939.0,0.0,2.0
52759,47815.0,47814.0,0.0,2.0
52760,23897.0,23894.0,0.0,2.0
52761,23896.0,52760.0,0.0,3.0
52762,23895.0,52761.0,0.0,4.0
52763,23893.0,23891.0,0.0,2.0
52764,23888.0,23892.0,0.0,2.0
52765,47853.0,52758.0,0.0,3.0
52766,47867.0,47828.0,0.0,2.0
52767,23873.0,23870.0,0.0,2.0
52768,47871.0,47874.0,0.0,2.0
52769,47889.0,47886.0,0.0,2.0
52770,47900.0,47899.0,0.0,2.0
52771,23836.0,23835.0,0.0,2.0
52772,23827.0,23825.0,0.0,2.0
52773,23826.0,52772.0,0.0,3.0
52774,23814.0,3538.0,0.0,2.0
52775,47926.0,46155.0,0.0,2.0
52776,47766.0,47775.0,0.0,2.0
52777,47764.0,47770.0,0.0,2.0
52778,47762.0,52776.0,0.0,3.0
52779,47761.0,47788.0,0.0,2.0
52780,24021.0,872.0,0.0,2.0
52781,24018.0,995.0,0.0,2.0
52782,24015.0,16788.0,0.0,2.0
52783,24014.0,52782.0,0.0,3.0
52784,24012.0,52783.0,0.0,4.0
52785,24010.0,52784.0,0.0,5.0
52786,24007.0,22836.0,0.0,2.0
52787,47706.0,47713.0,0.0,2.0
52788,47708.0,47707.0,0.0,2.0
52789,23812.0,23803.0,0.0,2.0
52790,23988.0,21883.0,0.0,2.0
52791,47711.0,47710.0,0.0,2.0
52792,47712.0,47694.0,0.0,2.0
52793,23976.0,23977.0,0.0,2.0
52794,23973.0,23964.0,0.0,2.0
52795,47724.0,47723.0,0.0,2.0
52796,47726.0,47725.0,0.0,2.0
52797,47727.0,52796.0,0.0,3.0
52798,47743.0,31163.0,0.0,2.0
52799,23938.0,23748.0,0.0,2.0
52800,23984.0,24000.0,0.0,2.0
52801,24023.0,870.0,0.0,2.0
52802,23810.0,52789.0,0.0,3.0
52803,23804.0,52774.0,0.0,3.0
52804,23701.0,23699.0,0.0,2.0
52805,48041.0,10675.0,0.0,2.0
52806,48042.0,52805.0,0.0,3.0
52807,48043.0,52806.0,0.0,4.0
52808,48044.0,52807.0,0.0,5.0
52809,48045.0,52808.0,0.0,6.0
52810,48047.0,52809.0,0.0,7.0
52811,23674.0,23672.0,0.0,2.0
52812,48051.0,48050.0,0.0,2.0
52813,23667.0,23668.0,0.0,2.0
52814,48053.0,48052.0,0.0,2.0
52815,48055.0,52812.0,0.0,3.0
52816,48058.0,48057.0,0.0,2.0
52817,23656.0,23653.0,0.0,2.0
52818,23654.0,52817.0,0.0,3.0
52819,23651.0,23647.0,0.0,2.0
52820,23650.0,52819.0,0.0,3.0
52821,23649.0,52820.0,0.0,4.0
52822,23648.0,52821.0,0.0,5.0
52823,48038.0,52816.0,0.0,3.0
52824,48037.0,52823.0,0.0,4.0
52825,48013.0,47924.0,0.0,2.0
52826,48004.0,52825.0,0.0,3.0
52827,47928.0,52775.0,0.0,3.0
52828,47931.0,47834.0,0.0,2.0
52829,47937.0,47936.0,0.0,2.0
52830,47938.0,52765.0,0.0,4.0
52831,47941.0,47942.0,0.0,2.0
52832,47946.0,52826.0,0.0,4.0
52833,47960.0,47959.0,0.0,2.0
52834,47962.0,52833.0,0.0,3.0
52835,23773.0,23771.0,0.0,2.0
52836,23806.0,52803.0,0.0,4.0
52837,23768.0,23767.0,0.0,2.0
52838,23756.0,21827.0,0.0,2.0
52839,23754.0,40255.0,0.0,2.0
52840,47984.0,52827.0,0.0,4.0
52841,23742.0,23733.0,0.0,2.0
52842,23741.0,23747.0,0.0,2.0
52843,23738.0,23939.0,0.0,2.0
52844,23732.0,23942.0,0.0,2.0
52845,23720.0,23725.0,0.0,2.0
52846,23719.0,23940.0,0.0,2.0
52847,23758.0,23759.0,0.0,2.0
52848,23646.0,52822.0,0.0,6.0
52849,24024.0,24022.0,0.0,2.0
52850,24032.0,917.0,0.0,2.0
52851,24171.0,24169.0,0.0,2.0
52852,24170.0,24164.0,0.0,2.0
52853,24168.0,52852.0,0.0,3.0
52854,24167.0,52853.0,0.0,4.0
52855,47622.0,39836.0,0.0,2.0
52856,24165.0,52854.0,0.0,5.0
52857,47624.0,52855.0,0.0,3.0
52858,47625.0,52635.0,0.0,3.0
52859,24159.0,24161.0,0.0,2.0
52860,47626.0,47607.0,0.0,2.0
52861,24156.0,52859.0,0.0,3.0
52862,47627.0,52860.0,0.0,3.0
52863,24152.0,24180.0,0.0,2.0
52864,24151.0,52856.0,0.0,6.0
52865,24150.0,52864.0,0.0,7.0
52866,24148.0,52851.0,0.0,3.0
52867,24147.0,52865.0,0.0,8.0
52868,24142.0,24140.0,0.0,2.0
52869,47633.0,18494.0,0.0,2.0
52870,47615.0,47528.0,0.0,2.0
52871,47609.0,47596.0,0.0,2.0
52872,47606.0,46311.0,0.0,2.0
52873,24183.0,6787.0,0.0,2.0
52874,24232.0,24228.0,0.0,2.0
52875,47587.0,11413.0,0.0,2.0
52876,24222.0,24217.0,0.0,2.0
52877,24221.0,52876.0,0.0,3.0
52878,24219.0,24209.0,0.0,2.0
52879,24218.0,24220.0,0.0,2.0
52880,24215.0,52879.0,0.0,3.0
52881,24211.0,52880.0,0.0,4.0
52882,24207.0,24205.0,0.0,2.0
52883,47636.0,47635.0,0.0,2.0
52884,47588.0,15568.0,0.0,2.0
52885,24199.0,24201.0,0.0,2.0
52886,47591.0,48871.0,0.0,2.0
52887,24197.0,52885.0,0.0,3.0
52888,24196.0,52887.0,0.0,4.0
52889,24195.0,52888.0,0.0,5.0
52890,24194.0,52889.0,0.0,6.0
52891,24193.0,52890.0,0.0,7.0
52892,47592.0,52886.0,0.0,3.0
52893,47599.0,52857.0,0.0,4.0
52894,24200.0,52891.0,0.0,8.0
52895,24028.0,906.0,0.0,2.0
52896,24138.0,52867.0,0.0,9.0
52897,24135.0,24133.0,0.0,2.0
52898,47672.0,18493.0,0.0,2.0
52899,47676.0,47642.0,0.0,2.0
52900,47677.0,18434.0,0.0,2.0
