parent,left_child,right_child,distance,size
52594,26687.0,52592.0,0.0,8.0
52595,26727.0,26726.0,0.0,2.0
52596,26725.0,26716.0,0.0,2.0
52597,26722.0,26723.0,0.0,2.0
52598,26721.0,52556.0,0.0,4.0
52599,26720.0,52598.0,0.0,5.0
52600,26718.0,26719.0,0.0,2.0
52601,26717.0,52596.0,0.0,3.0
52602,26714.0,52599.0,0.0,6.0
52603,26713.0,52602.0,0.0,7.0
52604,26685.0,52549.0,0.0,3.0
52605,26709.0,52543.0,0.0,7.0
52606,26704.0,52605.0,0.0,8.0
52607,26703.0,52606.0,0.0,9.0
52608,26699.0,26698.0,0.0,2.0
52609,26696.0,20258.0,0.0,2.0
52610,26695.0,52604.0,0.0,4.0
52611,26694.0,52607.0,0.0,10.0
52612,26693.0,51986.0,0.0,2.0
52613,26691.0,5525.0,0.0,2.0
52614,26690.0,26689.0,0.0,2.0
52615,26707.0,52608.0,0.0,3.0
52616,26728.0,52611.0,0.0,11.0
52617,26611.0,52582.0,0.0,3.0
52618,26606.0,26602.0,0.0,2.0
52619,26513.0,51902.0,0.0,2.0
52620,26510.0,52619.0,0.0,3.0
52621,26507.0,18408.0,0.0,2.0
52622,26505.0,52620.0,0.0,4.0
52623,26499.0,26471.0,0.0,2.0
52624,26496.0,52623.0,0.0,3.0
52625,26481.0,26442.0,0.0,2.0
52626,26470.0,26439.0,0.0,2.0
52627,26460.0,52626.0,0.0,3.0
52628,26515.0,52622.0,0.0,5.0
52629,26456.0,26448.0,0.0,2.0
52630,26445.0,26464.0,0.0,2.0
52631,26438.0,26435.0,0.0,2.0
52632,26433.0,26449.0,0.0,2.0
52633,26430.0,52624.0,0.0,4.0
52634,26426.0,26419.0,0.0,2.0
52635,26421.0,52633.0,0.0,5.0
52636,26414.0,26410.0,0.0,2.0
52637,26400.0,52627.0,0.0,4.0
52638,26395.0,26396.0,0.0,2.0
52639,26447.0,52629.0,0.0,3.0
52640,26607.0,13781.0,0.0,2.0
52641,26520.0,52628.0,0.0,6.0
52642,26523.0,51691.0,0.0,2.0
52643,26605.0,52618.0,0.0,3.0
52644,26604.0,52643.0,0.0,4.0
52645,26603.0,52644.0,0.0,5.0
52646,26599.0,26547.0,0.0,2.0
52647,26593.0,52621.0,0.0,3.0
52648,26583.0,52647.0,0.0,4.0
52649,26576.0,13709.0,0.0,2.0
52650,26575.0,52648.0,0.0,5.0
52651,26574.0,26573.0,0.0,2.0
52652,26522.0,52641.0,0.0,7.0
52653,26568.0,52594.0,0.0,9.0
52654,26555.0,52651.0,0.0,3.0
52655,26553.0,26550.0,0.0,2.0
52656,26549.0,52581.0,0.0,3.0
52657,26543.0,26544.0,0.0,2.0
52658,26537.0,1593.0,0.0,2.0
52659,26535.0,32011.0,0.0,2.0
52660,26533.0,14955.0,0.0,2.0
52661,26531.0,52659.0,0.0,3.0
52662,26528.0,26527.0,0.0,2.0
52663,26567.0,52650.0,0.0,6.0
52664,27374.0,17394.0,0.0,2.0
52665,26730.0,26731.0,0.0,2.0
52666,26736.0,26734.0,0.0,2.0
52667,26886.0,26883.0,0.0,2.0
52668,26885.0,39996.0,0.0,2.0
52669,26884.0,52667.0,0.0,3.0
52670,26882.0,26881.0,0.0,2.0
52671,26873.0,26874.0,0.0,2.0
52672,26872.0,26871.0,0.0,2.0
52673,26870.0,26875.0,0.0,2.0
52674,26869.0,26863.0,0.0,2.0
52675,26868.0,52673.0,0.0,3.0
52676,26887.0,52669.0,0.0,4.0
52677,26866.0,26867.0,0.0,2.0
52678,26862.0,33056.0,0.0,2.0
52679,26859.0,26860.0,0.0,2.0
52680,26857.0,26858.0,0.0,2.0
52681,26853.0,20981.0,0.0,2.0
52682,26850.0,26851.0,0.0,2.0
52683,26848.0,27389.0,0.0,2.0
52684,26847.0,52683.0,0.0,3.0
52685,26845.0,26849.0,0.0,2.0
52686,26843.0,29628.0,0.0,2.0
52687,26864.0,26865.0,0.0,2.0
52688,26841.0,26840.0,0.0,2.0
52689,26888.0,39947.0,0.0,2.0
52690,26892.0,48804.0,0.0,2.0
52691,26921.0,49622.0,0.0,2.0
52692,26919.0,52415.0,0.0,3.0
52693,26918.0,5974.0,0.0,2.0
52694,26917.0,26852.0,0.0,2.0
52695,1005.0,24110.0,0.0,2.0
52696,26914.0,26915.0,0.0,2.0
52697,26912.0,26911.0,0.0,2.0
52698,26910.0,52417.0,0.0,4.0
52699,26909.0,52694.0,0.0,3.0
52700,26889.0,26890.0,0.0,2.0
52701,26907.0,26908.0,0.0,2.0
52702,26905.0,26902.0,0.0,2.0
52703,26904.0,27974.0,0.0,2.0
52704,26900.0,29777.0,0.0,2.0
52705,26899.0,52704.0,0.0,3.0
52706,26898.0,52142.0,0.0,2.0
52707,26897.0,52518.0,0.0,6.0
52708,26896.0,52707.0,0.0,7.0
52709,26894.0,52419.0,0.0,3.0
52710,26893.0,52698.0,0.0,5.0
52711,26906.0,52705.0,0.0,4.0
52712,26733.0,21153.0,0.0,2.0
52713,26838.0,52552.0,0.0,4.0
52714,26836.0,39555.0,0.0,2.0
52715,26791.0,26790.0,0.0,2.0
52716,26789.0,26788.0,0.0,2.0
52717,26785.0,27096.0,0.0,2.0
52718,26784.0,52717.0,0.0,3.0
52719,26779.0,26769.0,0.0,2.0
52720,26778.0,11376.0,0.0,2.0
52721,26777.0,52720.0,0.0,3.0
52722,26771.0,52616.0,0.0,12.0
52723,26766.0,28352.0,0.0,2.0
52724,26793.0,16109.0,0.0,2.0
52725,26761.0,52612.0,0.0,3.0
52726,26758.0,52722.0,0.0,13.0
52727,26757.0,52725.0,0.0,4.0
52728,26752.0,26750.0,0.0,2.0
52729,26749.0,26748.0,0.0,2.0
52730,26745.0,35180.0,0.0,2.0
52731,26744.0,52487.0,0.0,3.0
52732,26743.0,39700.0,0.0,2.0
52733,26739.0,52613.0,0.0,3.0
52734,26738.0,26737.0,0.0,2.0
52735,26760.0,26763.0,0.0,2.0
52736,26837.0,1849.0,0.0,2.0
52737,26794.0,52724.0,0.0,3.0
52738,26797.0,28090.0,0.0,2.0
52739,26835.0,52714.0,0.0,3.0
52740,26834.0,26833.0,0.0,2.0
52741,26831.0,26832.0,0.0,2.0
52742,26828.0,49694.0,0.0,2.0
52743,26823.0,614.0,0.0,2.0
52744,26821.0,26819.0,0.0,2.0
52745,26820.0,52744.0,0.0,3.0
52746,26818.0,52745.0,0.0,4.0
52747,26817.0,52746.0,0.0,5.0
52748,26796.0,26795.0,0.0,2.0
52749,26816.0,52678.0,0.0,3.0
52750,26813.0,26812.0,0.0,2.0
52751,26811.0,51341.0,0.0,2.0
52752,26810.0,52711.0,0.0,5.0
52753,26806.0,52718.0,0.0,4.0
52754,26805.0,1802.0,0.0,2.0
52755,26804.0,26801.0,0.0,2.0
52756,26802.0,26803.0,0.0,2.0
52757,26800.0,26799.0,0.0,2.0
52758,26798.0,52531.0,0.0,3.0
52759,26815.0,26814.0,0.0,2.0
52760,26394.0,52638.0,0.0,3.0
52761,27377.0,27376.0,0.0,2.0
52762,27381.0,46321.0,0.0,2.0
52763,27902.0,27903.0,0.0,2.0
52764,27899.0,27892.0,0.0,2.0
52765,27898.0,27883.0,0.0,2.0
52766,27896.0,27895.0,0.0,2.0
52767,27893.0,52764.0,0.0,3.0
52768,27889.0,39878.0,0.0,2.0
52769,27888.0,52765.0,0.0,3.0
52770,27885.0,27886.0,0.0,2.0
52771,27884.0,52739.0,0.0,4.0
52772,27881.0,27882.0,0.0,2.0
52773,27879.0,27878.0,0.0,2.0
52774,27877.0,52727.0,0.0,5.0
52775,27875.0,52523.0,0.0,3.0
52776,27874.0,52710.0,0.0,6.0
52777,27871.0,27872.0,0.0,2.0
52778,27865.0,52756.0,0.0,3.0
52779,27864.0,27849.0,0.0,2.0
52780,27862.0,48731.0,0.0,2.0
52781,27861.0,52708.0,0.0,8.0
52782,27905.0,27906.0,0.0,2.0
52783,27909.0,27908.0,0.0,2.0
52784,27911.0,52780.0,0.0,3.0
52785,27919.0,27918.0,0.0,2.0
52786,27958.0,29148.0,0.0,2.0
52787,27956.0,27955.0,0.0,2.0
52788,27953.0,52692.0,0.0,4.0
52789,27951.0,52786.0,0.0,3.0
52790,27950.0,52789.0,0.0,4.0
52791,27949.0,52790.0,0.0,5.0
52792,27948.0,27827.0,0.0,2.0
52793,27947.0,27946.0,0.0,2.0
